dataset,model,kernel,scaler,poly,ridge,n_train,n_test,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
Edge_IIoTset,HHH,abel,QuantileTransformer,0,1e-05,10550,3000,15,0.6237308313446501,95.57916666666667,60.59375,2.3577777777777778,61.54842252678192,58.90592352398157,89.02484523809522,94.48160714285714,1.8348729610443115,3.683013916015625,0.8887240886688232,4766.453125,ok
Edge_IIoTset,HHH,abel,QuantileTransformer,0,1e-07,10550,3000,15,0.6247094472748567,95.59166666666667,60.68749999999999,2.351111111111111,61.37082876754745,59.04798473387349,89.0165238095238,94.46580357142858,1.8400330543518066,3.386212110519409,0.8687679767608643,4766.453125,ok
Edge_IIoTset,HHH,abel,QuantileTransformer,0,1e-09,10550,3000,15,0.6247094472748567,95.59166666666667,60.68749999999999,2.351111111111111,61.37082876754745,59.04798473387349,88.97044047619048,94.4694642857143,1.849992036819458,3.447544813156128,0.8632171154022217,4766.453125,ok
Edge_IIoTset,HHHv2,laplacian,QuantileTransformer,-1,0.001,11440,3000,15,0.8906721147615283,98.63555555555556,89.76666666666667,0.7309523809523809,90.19956694796147,89.79208787808695,98.81970238095239,99.96482142857143,0.1125497817993164,4.060187339782715,0.8243701457977295,7165.3125,ok
Edge_IIoTset,HHHv2,laplacian,QuantileTransformer,-1,0.1,11440,3000,15,0.8857864314988487,98.57333333333334,89.3,0.7642857142857143,89.93687374191272,89.35993917719428,99.10675,99.93285714285713,0.11448907852172852,4.140621900558472,0.8356192111968994,7165.3125,ok
Edge_IIoTset,HHHv2,laplacian,QuantileTransformer,-1,1e-05,11440,3000,15,0.883479685011523,98.54666666666667,89.1,0.7785714285714286,89.47660933444328,89.12411322883753,98.08429761904762,99.96178571428571,0.11211299896240234,4.1285240650177,0.8239481449127197,7165.3125,ok
Edge_IIoTset,HHHv2,laplacian,QuantileTransformer,-1,1e-07,11440,3000,15,0.8834812636063304,98.54666666666667,89.1,0.7785714285714286,89.47956534946768,89.12459323253022,97.93940476190477,99.96178571428571,0.11353397369384766,3.8571879863739014,0.8255228996276855,7160.375,ok
Edge_IIoTset,HHHv2,laplacian,QuantileTransformer,-1,1e-09,11440,3000,15,0.8834812636063304,98.54666666666667,89.1,0.7785714285714286,89.47956534946768,89.12459323253022,97.91570238095237,99.96196428571427,0.11069607734680176,4.054137706756592,0.8868420124053955,7141.171875,ok
IoTID20,HHH,laplacian,MinMaxScaler,-1,0.001,7680,2000,5,0.8908330110809711,97.06666666666666,75.99999999999999,1.76,76.45345891944112,76.09138951485865,98.2035625,98.85421875,0.07992076873779297,2.408503770828247,0.6963059902191162,2088.6875,ok
IoTID20,HHH,laplacian,MinMaxScaler,-1,0.1,7680,2000,5,0.7973876571968277,93.4,83.5,4.125,85.64056195098807,83.76062005536514,95.822625,98.11796875,0.08208322525024414,2.548456907272339,0.6926679611206055,2088.71875,ok
IoTID20,HHH,laplacian,MinMaxScaler,-1,1e-05,7680,2000,5,0.9135319202841913,97.68333333333334,77.54166666666666,1.39,77.84723963619626,77.6352261034678,98.32581249999998,99.0096875,0.0821530818939209,2.5522520542144775,0.6884050369262695,2088.65625,ok
IoTID20,HHH,laplacian,MinMaxScaler,-1,1e-07,7680,2000,5,0.9154310635863654,97.73333333333333,77.66666666666667,1.3599999999999999,77.97910596318563,77.75932393780704,98.31334375,98.9321875,0.08069705963134766,2.395336866378784,0.6899139881134033,2088.609375,ok
