dataset,model,kernel,scaler,poly,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
ToN_IoT,HHH,laplacian,MinMaxScaler,-1,46,7333,1920,8,0.9629192973277495,99.29398148148148,85.72222222222223,96.82291666666667,0.39713541666666663,85.5628994186208,97.14980034476302,85.60659461263617,96.96401430536235,99.20435918127238,99.28828056823461,99.2349330357143,99.3468023255814,0.07954883575439453,2.3276119232177734,0.38372182846069336,3314.734375,ok
ToN_IoT,HHH,laplacian,QuantileTransformer,-1,42,7333,1920,8,0.9429804737984637,98.91203703703704,84.23148148148147,95.10416666666667,0.6119791666666666,83.8510503077059,95.43096967257043,84.00077767131909,95.2234365292716,98.62658203213542,98.69889757652773,98.58939360119047,99.42151162790698,0.11258411407470703,2.1717329025268555,0.3739888668060303,3994.921875,ok
ToN_IoT,HHH,laplacian,QuantileTransformer,-1,43,7333,1920,8,0.9460899469536961,98.9699074074074,84.76851851851852,95.36458333333333,0.5794270833333334,84.21333635458535,95.67628905310376,84.43222287599787,95.45785800262091,98.51164421622126,98.57583602143684,98.47440104166665,98.84069767441859,0.11751317977905273,2.420271158218384,0.39053797721862793,3994.921875,ok
ToN_IoT,HHH,laplacian,QuantileTransformer,-1,44,7333,1920,8,0.9438785055100601,98.92361111111111,84.86111111111111,95.15625,0.60546875,84.0088459408609,95.62717230376325,84.35324957287469,95.29175722724051,98.76831289099687,98.66212812797495,98.80198288690477,99.4218023255814,0.7409679889678955,9.79615306854248,0.5199489593505859,3314.734375,ok
ToN_IoT,HHH,laplacian,QuantileTransformer,-1,45,7333,1920,8,0.9359443274485207,98.77314814814815,83.96296296296296,94.47916666666667,0.6901041666666666,83.10035359230685,94.81548269057828,83.4489348677789,94.54659628966412,98.43342961277143,98.47963308272702,98.4425037202381,99.26075581395348,0.1178889274597168,9.93311095237732,0.40201878547668457,3994.921875,ok
ToN_IoT,HHH,laplacian,QuantileTransformer,-1,46,7333,1920,8,0.9472634375529231,98.99305555555556,84.63888888888889,95.46875,0.56640625,84.19002099049365,95.87303684222277,84.37158750861813,95.62494143629388,98.88645468544584,98.92635970578903,98.8156956845238,99.19912790697674,0.19515395164489746,2.2428669929504395,0.3868422508239746,3314.734375,ok
ToN_IoT,HHH,laplacian,StandardScaler,-1,42,7335,1920,8,0.9580532148993144,99.20138888888889,85.46296296296298,96.40625,0.44921874999999994,85.64704603718995,96.6015812588008,85.52716919101829,96.47546616032467,99.05001308635364,99.10631128805136,99.04584077380953,99.29709302325581,0.08143186569213867,14.160283088684082,0.39911508560180664,3314.734375,ok
ToN_IoT,HHH,laplacian,StandardScaler,-1,43,7333,1920,8,0.9616651374593594,99.27083333333333,85.47222222222223,96.71875,0.41015625,85.56659052647424,96.88310412012987,85.49770597474662,96.78365350264019,99.24302777140282,99.3675294628893,99.20177083333336,98.55436046511628,0.08183503150939941,1.9826569557189941,0.45284295082092285,3994.921875,ok
ToN_IoT,HHH,laplacian,StandardScaler,-1,44,7333,1920,8,0.9641368284958984,99.31712962962963,86.08333333333333,96.92708333333333,0.3841145833333333,86.05361075622513,97.26274956207554,86.04446703343257,97.07635293678085,99.36618433094202,99.41766909198061,99.39234747023811,99.72877906976746,0.08037495613098145,2.8103721141815186,0.40567779541015625,3314.734375,ok
ToN_IoT,HHH,laplacian,StandardScaler,-1,45,7333,1920,8,0.9592613722414209,99.22453703703704,85.52777777777779,96.51041666666667,0.4361979166666667,85.39526068857461,96.62896751771386,85.44385822057586,96.55181065667618,99.10433919757808,99.07329865006912,99.04491815476189,98.52470930232558,0.617926836013794,4.81137490272522,0.5850319862365723,3994.921875,ok
