dataset,model,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
N_BaIoT,NC,44,6880,1800,9,0.4218111428404732,87.98765432098764,45.94444444444444,45.94444444444444,6.756944444444445,34.65690677116455,34.65690677116455,36.06776414996774,36.06776414996774,86.02505208333334,86.02505208333332,86.02505208333334,97.59781250000002,0.29447293281555176,0.002244710922241211,0.003735065460205078,2980.171875,ok
N_BaIoT,NC,45,6880,1800,9,0.40667556497263063,87.74074074074075,44.833333333333336,44.83333333333333,6.895833333333333,32.63510990256984,32.63510990256984,35.08492740024954,35.08492740024954,85.19730902777778,85.19730902777778,85.19730902777778,93.55921875,0.30251479148864746,0.002301931381225586,0.00392913818359375,2980.171875,ok
N_BaIoT,NC,46,6881,1800,9,0.4258158603316959,88.04938271604938,46.22222222222223,46.22222222222222,6.722222222222222,34.97342179154138,34.973421791541384,36.27964144971119,36.27964144971119,86.02074652777777,86.02074652777777,86.02074652777777,94.32140625000001,0.29566287994384766,0.0026319026947021484,0.004247188568115234,2980.171875,ok
N_BaIoT,NuSVC,42,6880,1800,9,0.9762923747205964,99.53086419753086,97.88888888888887,97.88888888888889,0.2638888888888889,97.92232346299348,97.92232346299346,97.88874366493717,97.88874366493717,,,,,0.2925281524658203,1.160153865814209,0.5237541198730469,2980.171875,ok
N_BaIoT,NuSVC,43,6880,1800,9,0.9769296146057467,99.54320987654322,97.94444444444443,97.94444444444444,0.2569444444444445,97.98084163520868,97.98084163520868,97.94077329756392,97.94077329756394,,,,,0.28919315338134766,1.15159010887146,0.5375380516052246,2980.171875,ok
N_BaIoT,NuSVC,44,6880,1800,9,0.95945762351958,99.19753086419753,96.38888888888889,96.38888888888889,0.45138888888888884,96.46773051673082,96.46773051673082,96.39763688839477,96.39763688839477,,,,,0.29018688201904297,1.1415119171142578,0.5332949161529541,2980.171875,ok
N_BaIoT,NuSVC,45,6880,1800,9,0.9612923912588869,99.23456790123457,96.55555555555554,96.55555555555554,0.4305555555555556,96.58818812890377,96.58818812890377,96.5551645202897,96.55516452028972,,,,,0.28650593757629395,1.1557700634002686,0.5190529823303223,2980.171875,ok
N_BaIoT,NuSVC,46,6881,1800,9,0.9675399790403847,99.35802469135803,97.11111111111111,97.11111111111111,0.3611111111111111,97.14285222190439,97.1428522219044,97.11094353323901,97.11094353323901,,,,,0.2847459316253662,1.1586570739746094,0.531296968460083,2980.171875,ok
N_BaIoT,RNC,42,6880,1800,9,0.6974307609508709,93.37037037037037,70.16666666666667,70.16666666666667,3.729166666666667,89.14349552224685,89.14349552224684,72.61666407146168,72.61666407146168,84.94432291666666,84.94432291666666,84.94432291666666,85.65625,0.297544002532959,0.0005650520324707031,0.041496992111206055,2980.171875,ok
N_BaIoT,RNC,43,6880,1800,9,0.6655171911733923,92.60493827160494,66.72222222222223,66.72222222222223,4.159722222222222,88.78105893639355,88.78105893639355,69.41277784494504,69.41277784494504,83.08444444444444,83.08444444444444,83.08444444444443,83.8125,0.29535794258117676,0.0004971027374267578,0.03992295265197754,2980.171875,ok
