dataset,model,kernel,scaler,poly,gamma_setting,gamma_used,n_train,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_fit_s,t_predict_s,peak_rss_mb,status
CIC_IoT2023,HHH,rbf,MinMaxScaler,-1,default,,7640,6,0.9907468735735246,99.81428571428572,85.12857142857143,0.10833333333333332,85.14391966942031,85.13585117728665,99.86873888888888,99.87541666666667,1.195998191833496,0.17237091064453125,3187.359375,ok
CIC_IoT2023,HHH,rbf,MinMaxScaler,-1,heuristic,2436.6120311296254,7640,6,0.5444002307172552,88.08333333333334,44.88333333333333,7.1499999999999995,51.677893491120294,36.66853181525718,58.5292824074074,92.69444444444444,1.0732109546661377,0.14381885528564453,3187.359375,ok
CIC_IoT2023,HHH,sigmoid,MinMaxScaler,-1,default,,7640,6,0.5040249406215405,89.85714285714286,41.74285714285714,5.916666666666667,56.64629217487774,39.08094402091503,90.83307222222223,90.83638888888889,25.87355399131775,0.129256010055542,7845.78125,ok
CIC_IoT2023,HHH,sigmoid,MinMaxScaler,-1,heuristic,2436.6120311296254,7640,6,0.001890294997882098,74.28571428571429,14.285714285714285,15.0,1.429286071607232,2.598583771844345,50.05925925925926,50.027777777777786,1.2845532894134521,0.12672924995422363,3187.359375,ok
CIC_IoT2023,HHHv2,poly,MinMaxScaler,-1,default,,7640,6,0.9971492248554857,99.93333333333332,99.86666666666667,0.04,99.67077584164564,99.7675591105874,99.99963888888888,100.0,1.2242398262023926,0.2546348571777344,3255.140625,ok
CIC_IoT2023,HHHv2,poly,MinMaxScaler,-1,heuristic,2436.6120311296254,7640,6,0.9992863157571544,99.98333333333333,99.98333333333335,0.01,99.91708126036484,99.95009973814838,99.98334999999999,100.0,2.1573991775512695,0.2437582015991211,3255.140625,ok
CIC_IoT2023,HHHv2,rbf,MinMaxScaler,0,default,,3114,6,0.9978603092381634,99.95,99.88333333333334,0.03,99.75206475871468,99.81706405617822,99.98576481481481,100.0,0.12978291511535645,0.06931114196777344,3255.140625,ok
CIC_IoT2023,HHHv2,rbf,MinMaxScaler,0,heuristic,33.078713236578295,3114,6,0.9843519011301084,99.63333333333333,98.5,0.22,98.22720749283667,98.34154375893372,99.9707814814815,99.99375,0.19457316398620605,0.0674600601196289,3255.140625,ok
CIC_IoT2023,HHHv2,sigmoid,MinMaxScaler,-1,default,,7640,6,0.5982611330284875,90.9,54.50000000000001,5.46,64.76629712628834,55.22221478736958,97.19303703703703,100.0,1.7954633235931396,0.13085484504699707,3255.140625,ok
CIC_IoT2023,HHHv2,sigmoid,MinMaxScaler,-1,heuristic,2436.6120311296254,7640,6,0.02646412997034937,83.35000000000001,16.75,9.99,25.004168751042187,11.28065352906469,50.040740740740745,50.027777777777786,1.3161859512329102,0.1292717456817627,3255.140625,ok
